#,off x,off y,off z
0,-0.185999999999922,-1.65000000000009,-1.628
1,-0.968000000000075,-2.154,3.692
2,-1.80300000000011,-2.803,3.8
3,-2.82499999999982,-3.328,8.063
4,-3.74699999999984,-3.77000000000001,14.208
5,-4.30999999999995,-3.58600000000001,36.398
6,-7.38099999999986,-1.54200000000003,28.115
7,-2.99399999999991,-0.38799999999992,13.896
8,-1.14799999999991,0.302000000000021,5.595
9,0.842000000000098,0.644000000000005,-7.696
10,1.78999999999996,1.558,-10.622
11,2.87100000000009,2.21499999999997,-17.697
12,5.50399999999991,3.76599999999996,-22.354
13,3.73399999999992,4.57600000000002,-12.539
14,-7.01999999999998,-4.22900000000001,32.725
15,-7.75,-5.09900000000002,39.879
16,-8.22800000000007,-3.51599999999996,54.021
