#,lt_x,lt_y,rt_x,rt_y,rb_x,rb_y,lb_x,lb_y
0,1783.761989,-804.6449372,2146.603562,-863.6478908,2146.629849,-867.7777116,1767.068014,-1242.570301
1,1795.39623,-499.4492457,2144.473878,-529.070682,2146.603562,-863.6478908,1783.761989,-804.6449372
2,1807.024947,-194.3984743,2142.460392,-212.7483036,2144.473878,-529.070682,1795.39623,-499.4492457
3,1816.972324,66.54650333,2140.869524,37.17983176,2142.460392,-212.7483036,1807.024947,-194.3984743
4,1825.44585,288.8286026,2139.399587,268.1096514,2140.869524,37.17983176,1816.972324,66.54650333
5,1837.564026,606.7191333,2137.384458,584.6900734,2139.399587,268.1096514,1825.44585,288.8286026
6,1890.748726,2001.88886,2128.362054,2002.126236,2137.384458,584.6900734,1837.564026,606.7191333
7,1001,2001,1890.748726,2001.88886,1837.564026,606.7191333,1000.666886,668.2094631
8,1000.666886,668.2094631,1837.564026,606.7191333,1825.44585,288.8286026,1000.58567,343.2641319
9,1000.58567,343.2641319,1825.44585,288.8286026,1816.972324,66.54650333,1000.535009,140.5701334
10,1000.535009,140.5701334,1816.972324,66.54650333,1807.024947,-194.3984743,1000.462315,-150.2758663
11,1000.462315,-150.2758663,1807.024947,-194.3984743,1795.39623,-499.4492457,1000.391905,-431.9881232
12,1000.391905,-431.9881232,1795.39623,-499.4492457,1783.761989,-804.6449372,1000.330605,-677.2483846
13,1000.330605,-677.2483846,1783.761989,-804.6449372,1767.068014,-1242.570301,1000,-2000
14,2140.869524,37.17983176,3001.638786,-40.86322695,3001.493013,-259.7412564,2142.460392,-212.7483036
15,2139.399587,268.1096514,3001.806658,211.196266,3001.638786,-40.86322695,2140.869524,37.17983176
16,2137.384458,584.6900734,3002.013095,521.1621947,3001.806658,211.196266,2139.399587,268.1096514
